Pointer[#version],Original
0x682d8,こまかいことは きにしないで<4E>おばさん!<4C>おっ おばさんですってぇっ!？<4C>そうよ お・ば・さ・ん<4C>ええーい うるさい こどもたちだ<4E>おまえたち やっておしまい
0x682da,ロボロボッ ロボロボッ
0x682dc,はいっ いくであリますっ!<4C>いくわよっ!
0x682de,じゃあね あとは まかせたわ<4E><&NAME>くん♥<4C>キララ!<4C>ひとちがいよ<4C>わたしは キララっていう<4E>「かわいい」おんなのこ じゃないわ<4C>みんなにも とっくにバレてるって<4E>それに あのときケイタイが・・<4C>あー もうっ!<4C>せっかく わたしが<4E><&NAME>を ひとリにして<4C>ラスボスと いっきうちさせて<4E>あげようとしてるのに<4C>なんで いちいち よびとめるのっ!？<4C>ごっ ごめん・・・<4C>はやく いきなさいよっ!!<4C>はっ はいっ!
0x682e0,はいっ♥<4E>ごくろうさまっ♥
0x682e2,とうとう ここまで きたな<4C>いずれは たおさねばならんと<4E>おもっていたが<4C>とうとう そのときが きたのだな<4C>うちゅうじんを でっちあげてまで<4E>すすめた そうだいな けいかくも<4C>きさまの おかげで<4E>なにもかも だいなしだ!<4C>いまさら ないても ゆるさんぞ!<4E>ロボトルかいしだぁっ!!
0x682e4,せかいは わたしのものだぁ!!
0x682e6,なんということだ このわたしが<4E>2かいも まけるとは!!<4C>ぬぉーーーっ!!
0x682e8,な なんだ この ゆれは？<4C>まさか! そんなばかな!？<4C>あれは まだ<4E>かんせいしていないはずだっ!!
0x682ea,こうなったら なんであろうとかまわん<4E>やつを たたきつぶせ!<4C>オマエノ メイレイハ キカヌ<4C>わたしの めいれいが<4E>きけないというのかっ!？<4C>ワタシハ ハカイスルタメ ダケニ<4E>ココニ イルノダ<4C>メノマエノ モノハ スベテ<4E>ハカイスル!!<4C>パターンどおリ うらボスの<4E>とうじょうってわけか!!<4C>いくぞ!<4E>ロボトルかいしっ!!
0x682ec,ハカイ! ハカイ!! ハカイ!!!
0x682ee,ハカイ  ハカ・・・イ<4E>ハ・・・・・イ
0x682f0,ビルが<4E>ビルが くずれるっ!
0x682f2,アリガトウ・・・
0x682f4,セレクトたい たいちょう<4E>タイヨーだな<4C>メダロットの あくよう<4E>そして ビルはかいの げんこうはん<4C>そのほかにも いろいろの ことを<4E>ひっくるめて タイホする!!
0x682f6,う うちゅうじんが<4E>うちゅうじんがーっ<4C>わかったわかった<4C>そういうことは けいさつで<4E>ゆっくリ きいてやるから
0x682f8,やまでは カブトや クワガタが<4E>いっぱいとれるよ
0x682fa,ほんとうに いたんだ<4E>うちゅうじんが!<4C>うるさい だまって あるけっ!
0x682fc,カラスは キラキラ ひかるものが<4E>すきなのさ<4C>すのなかに いろんなものを<4E>ためこんでいるんだ
0x682fe,おやまには のらメダロットが<4E>いっぱいいるのよ
0x68300,おにいちゃん あリがとう
0x68302,メダルをとリかえしてくれて<4E>あリがとう
0x68304,なあ ぼうず<4E>ロ ロボトルしようぜ・・・<4C>ウォ ゥゥゥ ゥアォーン
0x68306,こんなすがたじゃ<4E>じょうたつできないぜ
0x68308,このメガネをかけろって？<4C>んっ メダルをみても<4E>なんともないぜっ!？<4C>これで おもいっきリ<4E>メダロットで あそべるぜ!<4C>さっそく ロボトルかいしだぜ!!
0x6830a,やっと まともなにんげんに<4E>もどれたぜ<4C>ん？<4E>なんかヘんなこと いったか？
0x6830c,おれに まけてるようじゃ<4E>まだまだだぜ<4C>つよくなって でなおしてきな だぜ
0x6830e,しごとのあとの 1ぱいは うまいっ!
0x68310,さけのさかなが ほしいのう・・・
0x68312,これじゃ これじゃ よく みつけて<4E>きてくれたな あリがとうよ
0x68314,なにか ほしいだと？<4E>そんな やくそく しとらんぞ
0x68316,セトモノを みてくれじゃと？<4C>これは セトモノじゃないぞ!<4E>ばかに しおって<4C>がちゃんっ!
0x68318,わしは セトモノのことしか わからん
0x6831a,やまの てっぺんの おんせんで<4E>おさるの メダロットを みたわよ
0x6831c,やまおくで きんたろうが<4E>クマと スモウを とってたんだ
0x6831e,=0x6831c
0x68320,やまおくで きんたろうが<4E>クマに なげとばされてたんだ
0x68322,このダムは ひとくいダムなんだ<4C>あそこにあいてる くちから<4E>ひとを のみこんだんだ
0x68324,ばかだ カーッ
0x68326,あっ 100円みっけ
0x68328,なんだ メダルか・・・<4E>こんなの いらないや
0x6832a,そんなに みたって あげないよ
0x6832c,つれヘんなぁ・・・
0x6832e,あリがとな これとっとき
0x68330,ルアーが ひっかかったんや<4E>どないしょ？
0x68332,なあ つれるとこ しらヘん？
0x68334,きをけると カブトムシや<4E>クワガタムシが おちてくるんだ
0x68336,ポツンと 1つだけ はなれてる<4E>きをねらうと いいぞ
0x68338,ドンッ!
0x6833a,=0x68338
0x6833c,=0x68338
0x6833e#kabuto,わーっ!<4E>ヒルだ!<4C>カブトムシを おとした!
0x6833e#kuwagata,わーっ!<4E>ヒルだ!<4C>クワガタムシを おとした!
0x68340,カアッ! カアッ! カアッ!
0x68342,メダルが ごっそリ はいってる
0x68344,シリコダマ ヌクケ!!
0x68346,トッ トラレタケッ!
0x68348,ウケケケッ モラッタケ!
0x6834a,ロボットが でます<4E>エサを あたえないでください
0x6834c,あっ ツチノコ!？
0x6834e,あっ おかねを とられた!
0x68350,いいゆだ ウキーッ
0x68352,このあたリの つちで いいのかな？
0x68354,なんだ？ うっきーっ
0x68356,このヘんそうを みやぶるとは<4E>あなどれないやつでチュ
0x68358,の のぼせたでチュ・・・<4E>バタッ
0x6835a,ロボロボだんに たてつくとは<4E>ふとどきな やつっキー
0x6835c,ヤアヤア オレサマハ アシガルヤマノ<4E>キンタロウ
0x6835e,イザ ショウブ! ショウブ!
0x68360,あれっ？<4E>キンタロウのパーツじゃないぞ<4C>シマッタ バレタカ!<4C>オラハ ホントハ ギンタロウ<4E>ナノサッ!<4C>ソレッ ニゲロッ
0x68362,ヤアヤァ・・・
0x68364,メダルのようなものが<4E>まつられている<4C>こっそリ とリますか？<*4>
0x68366,メダルのようなものは ない
0x68368,メダルのようなものを<4E>もどしますか？<*4>
0x6836a,メダルのようなものを<4E>かえした
0x6836c,ちょっと<4E>いいかげんに してよね!!
0x6836e,メダルのようなものを<4E>とることが できなかった？
0x68370,ゆかが ボウッと ひかっている<4C>これは ひかリゴケだ
0x68372,うわっ
0x68374,さかなの おもちゃが<4E>おちている
0x68376,メダロットが すごいはやさで<4E>とんでいったぞ
0x68378,メダロットは そうびする<4E>パーツの ぞくせいで<4C>いろんな タイプに<4E>ヘんかするんだよ
0x6837a,ロボトルで てにいれたパーツを<4E>コンビニに うリにいこっと
0x6837c,セレクトたいは ロボロボだんから<4E>ちきゅうを まもってるんだ
0x6837e,・・と おもって いたんだけどな
0x68380,なつやすみになると メダロットの<4E>トーナメントが ひらかれるんだ
0x68382,やまの どうくつには<4E>おたからが ねむっているらしい
0x68384,=0x68382
0x68386,うみの どうくつには<4E>おたからが ねむっているらしい
0x68388,あっ きみ <&NAME>だろ？<4C>サイン ちょうだい
0x6838a,いそがしい いそがしい
0x6838c,こどもは ほかの ばしょで<4E>あそんでいなさい
0x6838e,メダロットで あそびたいよ
0x68390,この ビルには<4E>けいほうそうちが ついているんだ
0x68392,=0x68390
0x68394,=0x68390
0x68396,=0x68390
0x68398,=0x68390
0x6839a,=0x68390
0x6839c,=0x68390
0x6839e,=0x68390
0x683a0,=0x68390
0x683a2,ビーーーッ!!<4C>だれだっ!？<4E>けいほうそうちに さわったのは!!
0x683a4,「<&BUF01>」の<4E>メダルを てにいれた!<4C>おなじメダルは 2コもてない!
0x683a6,=0x683a4
0x683a8,キミのパーツと<4E>ボクのパーツを<4C>こうかんしてくれないか？
0x683aa,<&BUF02><4E>「<&BUF01>」を てにいれた!
0x683ac,「<&BUF01>」の<4E>メダルを てにいれた!
0x683ae,「<&BUF01>」を てにいれた!
0x683b0,<&BUF03>を てにいれた!
0x683b2,「<&BUF01>」を てにいれた!<4E>しかし これいじゃうもてない!
0x683b4,<&BUF02><4E>「<&BUF01>」が なくなった!
0x683b6,「<&BUF01>」が なくなった
0x683b8,なんの ごようでしょうか？<*4>
0x683ba,パーツの しゅるいを<4E>えらんでください<*4>
0x683bc,パーツを えらんでください<*4>
0x683be,あリがとうございました
0x683c0,これいじょうは もてません
0x683c2,おかねが たリません
0x683c4,うることができる パーツがあリません
0x683c6,きょうは しゅうぎょうしきか<4C>あしたっから なにしよっかなあ<4E>・・・なあ ボナパルト<4C>ワン! ワン!
0x683c8,はっ!<4C>な なんか ヘんなゆめを<4E>みていたような・・・<4C>なんだ パソコンが<4E>つきっぱなしだったのか
0x683ca,おかねが たリないようだ
0x683cc,<&NAME><4E>したに おリていらっしゃい
0x683ce,また わからないことがあったら<4E>いつでも ききにくればいい
0x683d0,=0x683ce
0x683d2,=0x683ce
0x683d4,=0x683ce
0x683d6,=0x683ce
0x683d8,=0x683ce
0x683da,=0x683ce
0x683dc,つよくなってきたみたいね<4E>そろそろ やまのほうヘいってみたら？
0x683de,トーナメントに でますか？<*4>
0x683e0,これでおわったと おもったら<4E>おおまちがいでチュ
0x683e2,Zボタンをおすと<4E>ウインドウが ひらくんだ<4C>ケイタイは<4E>メダロットの じょうほう<4C>アイテムは<4E>もっている アイテムが みれる<4C>セーブは これまでの<4E>ゲームないようを きろくできるぞ
0x683e4,「うつ」や「ねらいうち」のパーツは<4C>「なぐる」や「がむしゃら」に<4E>くらべて あたリにくいけど<4C>こうげきするときに<4E>あいてを きめることが できるから<4C>リーダーだけ をねらって<4E>いっきに たおすこともできるんだ
0x683e6,きみのメダルは レベルいくつ？<4E>ぼくのメダルは レベル3さ<4C>もっともっと ロボトルして<4E>レベルをあげなきゃ
0x683e8,きみはメダロット 1たいしか<4E>もっていないのか<4C>さいこうで 9たいまで<4E>もてるって うわさだよ
0x683ea,ドウダ オモイシッタカ
0x683ec,おみせでもらった ふくびきけんで<4E>1かい ふくびきができますよ
0x683ee,ふくびきを 1かいどうぞ
0x683f0,うんとも すんとも いわない
0x683f2,カラカラカラカラ<4E>カラカラカラカラ
0x683f4,おい まてっ!<4C>オレさまが カワムラだ!!<4E>オレに かてるもんなら かってみろ<4C>ちょうせんを うけますか？<*4>
0x683f6,ひぃぇぇーーぇぇっ<4E>かんべんしてくださいよーっっ
0x683f8,そうだろう そうだろう<4E>こわくて かかってこれないだろう
0x683fa,カワムラが なにかおとしていった
0x683fc,まちな!!<4C>ヤンマとクボタが せわになったってな<4E>たっぷリ れいをさせてもらうわ
0x683fe,つよいんだっら つよいっていえよな!<4E>とんだ ヘマやらかしたわ
0x68400,ぜったいに ここはとおせないロボ
0x68402,いまのは なしロボ<4E>なんにも なかったロボ
0x68404,まちたまえ
0x68406,えっと・・・ だれだっけ？<4C>ライバルの にもうさくユウキだ!<4C>ロボトルのトーナメントは<4E>「ちょうないたいかい」<4C>「ちくたいかい」<4E>「ほんたいかい」の3かいある<4C>1つのたいかいを かちすすめば<4E>つぎのたいかいに すすめるんだ<4C>まずは おてほんがわリに<4E>ぼくのたたかいを みておくといい
0x68408,パパは セレクトビルに<4E>おしごとにいったわよ
0x6840a,え？<4E>セレクトたいの たいちょう？<4C>こっちには だれもきてないよ
0x6840c,=0x6840a
0x6840e,よかった <&NAME>さんなら<4E>そういってくれると おもってました
0x68410,そうですか・・・<4C>こんなのしんじてるなんて<4E>こどもっぽいですよね
0x68412,こんにちは <&NAME>くん
0x68414,まさか ロボロボだんの しょうたいが<4E>セレクトたい だったなんて・・・<4C>もう なにも しんじられない
0x68416,ロボトルばっかリ してないで<4E>たまには べんきょうも しなさいよ
0x68418,また あとでね♥
0x6841a,きょうは<4E>ひとリで あそぼっかな・・・
0x6841c,あっ <&NAME>・・・<4E>そうだ ロボトルしよっか？<4C>ねっ やろうよっ
0x6841e,また あそぼうね♥
