Pointer[#version],Original,Translated
0x74302,カン!カン!カン! ロボトルエンド!<4E>さあ これで じかんぎれです!<4C>はんていのけっかを みてみましょう!<S78><4C><S2>はんていのけっか!<4E><&BUF01>の しょうリです!,Ding ding ding! Time is up!<4C>Now to determine the winner!<S78><4C><S02>It looks like... <&BUF01>'s match!
0x74304,<&NAME>は <&BUF02><4E>「<&BUF01>」を とられた<*2>,<&NAME> handed over <f02><&BUF01><f00>.
0x74306,あっ!!!!!!<4E>くまれたメダロットが ひとつもない!<4C>メダロットが できないよー!!<4C><&NAME> は<4E>めいっぱい おちこんだ!!,Ack!! I don't have a single Medarot assembled!<4C>I... I can't go on!!<4C><&NAME> fell into despair!
0x74308,<&NAME> は<4E>「ロボロボメダル」を てにいれた!<*2>,<&NAME> got a <f02>RoboRobo Medal<f00>!<*2>
0x7430a,あぁーーーーーーーー!!<4E>こんなところで まけるなんて!<4C>もっと ああして・・・こうして・・・<4E>ぶつぶつぶつ・・・・・・・<4C><&NAME> は<4E>めいっぱい おちこんだ!!,Aaarrgh!! I can't believe I lost in a place like this!<4C>This isn't... how I wanted....<4C>............<4C><&NAME> fell into despair!
0x7430c,<&NAME> は<4E>ティンペットを てにいれた!!,<&NAME> obtained a Tinpet!
0x7430e,あれっ!!<4E>ティンペットは そろっているよ!<4C><&NAME> は<4E>ティンペットを もてなかった!!,Huh? You already have too many!<4C><&NAME> did not take the Tinpet!
0x74310,ここでは つうしんケーブルをつかって<4E>ともだちと あそぶことができます<4C>つうしん しますか？<*4>,You can play with your friends using a Game Link cable here.<4C>Do you want to connect?<*4>
0x74312,つうしんまえに セーブしますが<4E>よろしいですか？<*4>,The game will be saved before connecting.<49>Is this alright?<*4>
0x74314,\ロボトルほんぶに アクセスします<S3c><*4>,<4A><49>Accessing Robottle HQ...<S3c><*4>
0x74316,つうしんちゅう!!<*4>,Connecting!<*4>
0x74318,つうしん できませんでした!,Couldn't connect!
0x7431a,2たい いじょう くまれた<4E>メダロットがないと できません<S3c><*1>,You need at least 2 battle-ready Medarots to use this mode.<S3c><*1>
0x7431c,トレードする パーツがあリません<S3c><*1>,You have no parts to trade.<S3c><*1>
0x7431e,<Sff>つうしんまちです!!<S1e><*4>,<Sff>Waiting on connection!<S1e><*4>
0x74320,<&NAME> は<4E>たたかいに かちました!!<4C>みごとな しょうリです!<4E>これからもガンガンいこう!!,<&NAME> won the battle!<4C>An excellent victory!<49>Keep it up!
0x74322,<&NAME> は<4E>たたかいに まけました!!<4C>もういちど きたえなおしだ!<4E>こんどは がんばリましょう!!,<&NAME> lost the battle!<4C>That's too bad!<49>Train hard and go for the win!
0x74324,あなたは ロボトルしょうしゃとして<4E>「ロボとーる」を おこなえます!,"As the winner of the Robottle, you get to play <f02>Robo-Toll<f00>!"
0x74326,あなたは ロボトルはいしゃとして<4E>パーツをとられてしまいます,"As the loser of the Robottle, one of your parts will be taken."
0x74328,<&BUF01> は<4E>「ロボとーる」に<S10>・・・・・・・・・\<S2>せいこうした!<S3c><*4>,<&BUF01>'s <f02>Robo-Toll<f00><S10>.........<4A><49><S02>Succeeded!<S3c><*4>
0x7432a,<&BUF01> は<4E>「ロボとーる」に<S10>・・・・・・・・・\<S2>しっぱいした!<S3c><*4>,<&BUF01>'s <f02>Robo-Toll<f00><S10>.........<4A><49><S02>Failed!<S3c><*4>
0x7432c,ハズレ! なにも とれなかった!<4E>ざんねんですが しかたあリません!,"Miss! You didn't get anything!<49>Too bad, maybe next time!"
0x7432e,ハズレ!<4E>なにもとられずにすんだ! ラッキー!,"Miss! Nothing was taken!<49>Phew, that was close!"
0x74330,Yボタンでストップしてください!<*4>,Press A to stop the wheel!<*4>
0x74332,パーツせんたくちゅうです!!<*4>,Choosing parts!<*4>
0x74334,しかし かんぜんなかたちで<4E>とることができなかった!<*2>,"Despite winning, you could not get a part!"
0x74336,<&NAME>は <&BUF02><4E>「<&BUF04>」を てにいれた<*2>,<&NAME> got the <&BUF02> part <f02><&BUF04><f00>!<*2>
0x74338,<&NAME>は <&BUF02><4E>「<&BUF04>」を とられた<*2>,<&NAME> lost the <&BUF02> part <f02><&BUF04><f00>!<*2>
0x7433a,メダルは いっぱいで もてなかった!<*2>,You can't carry any more of that Medal!<*2>
0x7433c,そのパーツは<4E>いっぱいで もてなかった!!<*2>,You can't carry any more of that part!<*2>
0x7433e,どのぶぶんを トレードしますか？<*4>,Which type of part will you trade?<*4>
0x74340,=0x7433e,=0x7433e
0x74342,トレードするパーツはどれですか？<*4>,Which part will you trade?<*4>
0x74344,トレードする パーツがあリません!,You have no parts of that type to trade!
0x74346,「<&BUF04>」と<4E>「<&BUF01>」をトレードします<S3c><*4>,<f02><&BUF04><f00> will be traded for <f02><&BUF01><f00>.<S3c><*4>
0x74348,「<&BUF04>」は<4E>「<&BUF01>」にヘんかした!,<f02><&BUF04><f00> transformed into <f02><&BUF01><f00>!
0x7434a,そこには いけません!!,You can't go that way!
0x7434c,ロボロボメダルを つかいますか？<*4>,Will you use a RoboRobo Medal?<*4>
0x7434e,せんとうから にげられた!!<S3c><*4>,Fled from the battle!<S3c><*4>
0x74350,こうさん しますか？<*4>,Do you want to surrender?<*4>
0x74352,おめでとうございます!<4E>パスワードが すべてそろいました!<4C>4もじをおうぼはがきに かきこんで<4E>イマジニアあてに おおくリください<4C>ちゅうせんで ひかるゲームボーイを<4E>プレゼント いたします!,Congratulations!<49>You've collected all 4 password letters!<4C>Write the password on the included postcard and send it to Imagineer to be entered in a draw for a glow-in-the-dark Game Boy!
0x74354,<&NAME>のメダルは<4E><&BUF01>のけいけんちをえた!<*2>,<&NAME>'s Medals earned <&BUF01> experience!<*2>
0x74356,なぐる・がむしゃらにこうかをはっき!<S3c><*4>,Physical attack detected!<S3c><*4>
0x74358,うつ・ねらいうちにこうかをはっき!<S3c><*4>,Ranged attack detected!<S3c><*4>
0x7435a,トラップかいじょを おこなった!<S3c><*4>,Attempted to clear traps!<S3c><*4>
0x7435c,<&BUF01> は<4E>ダメージかいふくを おこなった!<S3c><*4>,<&BUF01> cleared its damage!<S3c><*4>
0x7435e,=0x7435c,=0x7435c
0x74360,=0x7435c,=0x7435c
0x74362,=0x7435c,=0x7435c
0x74364,=0x7435c,=0x7435c
0x74366,<&BUF01> は<4E>きのうかいふくを おこなった!<S3c><*4>,<&BUF01> tried to restore function!<S3c><*4>
0x74368,ねらったパーツは<4E>ダメージを うけていません!<S3c><*4>,The targeted part is not damaged!<S3c><*4>
0x7436a,ねらったパーツは<4E>きのうていし していません!<S3c><*4>,The targeted part is not destroyed!<S3c><*4>
0x7436c,さくてきで あがったせいこうリつを<4E>さげた!<S3c><*4>,Accuracy bonuses were reduced!<S3c><*4>
0x7436e,<&BUF01> は<4E>あたまで ぼうぎょした!!<S3c><*4>,<&BUF01> defended with its head!<S3c><*4>
0x74370,<&BUF01> は<4E>みぎうでで ぼうぎょした!!<S3c><*4>,<&BUF01> defended with its right arm!<S3c><*4>
0x74372,<&BUF01> は<4E>ひだリうでで ぼうぎょした!!<S3c><*4>,<&BUF01> defended with its left arm!<S3c><*4>
0x74374,<&BUF01> は<4E>きゃくぶで ぼうぎょした!!<S3c><*4>,<&BUF01> defended with its legs!<S3c><*4>
0x74376,ヘんどうかいじょを おこなった!<S3c><*4>,Attempted to clear Flux status!<S3c><*4>
0x74378,ていしかいじょを おこなった!<S3c><*4>,Attempted to clear Stop status!<S3c><*4>
0x7437a,そくばくかいじょを おこなった!<S3c><*4>,Attempted to clear Bind status!<S3c><*4>
0x7437c,けいぞくかいじょを おこなった!<S3c><*4>,Attempted to clear Burn status!<S3c><*4>
0x7437e,しょうじょうかいじょを おこなった!<S3c><*4>,Attempted to clear status effects!<S3c><*4>
0x74380,<&NAME> は<4E>メダル「<&BUF04>」をてにいれた<*2>,<&NAME> obtained the <f02><&BUF04><f00> Medal!<*2>
0x74382,<&NAME> は<4E>メダル「<&BUF04>」をとられた<*2>,<&NAME>'s <f02><&BUF04><f00> Medal was taken!<*2>
0x74384,<&BUF04> は<4E>メダル「<&BUF01>」をてにいれた<*2>,<&BUF01> defended with its legs!<S3c><*4>
0x74386,あっ! メダル「<&BUF04>」は<4E>メダル「<&BUF01>」にヘんかした<*2>,Ah! The <f02><&BUF04><f00> Medal transformed into a <f02><&BUF01> <f00>Medal!<*2>
0x74388,しかし メダル「<&BUF04>」は<4E>すでにもっています<4C>メダル「<&BUF04>」をもてなかった<4C><*4>,...But you already have that Medal!<4C>The <f02><&BUF04><f00> Medal wasn't taken.<*4>
0x7438a,そのかわリに<4E>ぜんじゅくれんどが 4アップした!!<*2>,"In exchange, all of its skills were raised by 4!<*2>"
0x7438c,くまれたメダロットがないとできません<S3c><*1>,You need at least one battle-ready Medarot to use this mode.<S3c><*1>
0x7438e,ここでは つうしんケーブルをつかって<4E>ともだちと あそぶことができます<4C>まず はじめてこられた あなたヘ<4E>つうしんロボトルを せつめいします<4C>ーーあそびでロボトルーー<4E>ともだちのメダロットと<4C>きがるに たいせんできるモードです<4C>ーーしんけんロボトルーー<4E>ともだちのメダロットと<4C>メダルおよびパーツをかけた<4E>しんけんしょうぶができるモードです<4C><*4>,"Hello! This is where you can play together with your friends using a Game Link cable.<49>Since this is your first time coming here, I'll explain link Robottles for you:<4C>--- Practice Robottle ---<49>In this mode, you can battle against your friends without worrying about winning or losing parts.<4C>--- Official Robottle ---<49>In this mode, you can battle your friends while putting your parts and Medals on the line!<*4>"
0x74390,まけたほうは メダルおよびパーツを<4E>とられてしまいます<4C>メダロットのすくない はじめのうちは<4E>やらないほうが いいとおもいます<4C>ーーパーツをトレードするーー<4E>ともだちのもっているパーツと<4C>あなたのもっているパーツを<4E>こうかんできるモードです<4C>いじょう!!<4E>3つのモードが たのしめます!,"The loser of the battle will have one of their parts or Medals taken by the winner.<49>For experienced players only!<4C>--- Trading Parts ---<49>In this mode, you can trade spare parts with your friends.<4C>That ends the explanation!<49>Have fun!"
0x74392,<IGNORED>,<IGNORED>
0x74394,=0x74392,=0x74392
0x74396,=0x74392,=0x74392
0x74398,=0x74392,=0x74392
0x7439a,=0x74392,=0x74392
0x7439c,=0x74392,=0x74392
0x7439e,=0x74392,=0x74392
