Pointer[#version],Original,Translated
0x6014e,ばれてしまったら しかたがないな,<@YuukiSad>Well I guess the cat's out of the bag...
0x60150,ぼくたちは あいしあっているのさ<4C>でも このことは<4E>きみには かんけいないだろう？,"<@Yuuki>Yeah, we love each other but...<4C>What exactly does that have to do with you?"
0x60152,ほかのばしょに いってくれないか？,<@Yuuki>Have you visited any other places lately?
0x60154,コンビニでも ティンペットは<4E>うってないんだなぁ,Stores don't sell Tinpets...
0x60156,のこリの メダルは<4E>あと・・・,The number of remaining medals is...
0x60158,4まいか,4
0x6015a,2まいか,2
0x6015c,よし メダルが ぜんぶそろったぞ<4E>はやく メダロットはかせの・・・,"<@Hikaru>All right, I've collected all the Medals.<4C>Now to show the Professor..."
0x6015e,「いせき」は なぞのひこうぶったいが<4E>おリたという うわさがある<4C>うちゅうじんと ロボトルッ!<4C>・・・なんてことに<4E>なるかもしれないぞ!<4C>まよったときは タウンマップだ!<4C>アイテムがめんで これをつかえば<4E>じぶんの いるばしょも わかるんだ<4C>じゃあ みんなのぼうけんレポートを<4E>きたいしてるからな!,"<@Gym>There have been rumors of unidentified flying objects near the ruins, too!<4C>You might even get to Robottle with aliens!<49>....It could happen!<4C>If you get lost, just check the <f02>Town Map<f00>!<4C>Just select it from your item screen, and you'll be able to see where you are immediately.<4C>Well then, I'll look forward to seeing everyone's reports in the fall!"
0x60160,キララどうしたんだ？<4C>クボタと ヤンマったら ひどいのよ!<4C>いきなリ ふたリがかリで<4E>ロボトルしかけてきて<4C>やリたくないって いってるのに<4E>むリやリ パーツうばおうとするのよ,"<@Hikaru>Kirara, what's going on?<4C><@KiraraSad>Kubota and Yanma are being mean!<4C>The two of them ganged up on me and challenged me to a Robottle.<4C>I told them I didn't want to, but they won't let it go!<4C>They're just trying to take my parts!"
0x60162,なんだ？ <&NAME><4E>ロボトルは かったやつが<4C>まけたやつから パーツをうばえるって<4E>ルールだろうが しらねえのか？<4C>おれたちが ひきょう？<4E>・・・ばかいうな<4C>ロボトルは チームで<4E>たたかうのが ふつうだろ？<4C>1たいしか もってねえヤツが<4E>わるいんだよ!<4C>なんだよ <&NAME><4E>そんなかおで にらんでんじゃねーよ<4C>それとも<4E>オマエが あいてになるってのか？<*4>,"<@Yanma>What's that?<4C><&NAME>, don't tell me you didn't know that the winner gets to take a part from the loser. It's a basic rule of Robottles!<4C>You say we're cheaters?<4C>Don't be stupid!<4C>It's normal for Robottles to be team battles, right?<4C>It's your own fault for only having one!<4C>C'mon <&NAME>, stop glaring at us like that.<4C>Or do you think you can take us on? Huh?<*4>"
0x60164,せいかくが おなじパーツを<4E>4つ つけてるときだけ<4C>メダルの せいかくが<4E>1ずつ ヘんかするんだよ,Your Medal's habits will change little by little but only at a time when you equip four compatible parts.
0x60166,うしが じゃまで とおれないよ,"There's a cow in the way, I can't go through."
0x60168,はたけに はいっちゃ なんねーぞ,Don't go near the crops!
0x6016a,もーっ,Moo!
0x6016c,モー,Mooo.
0x6016e,ひみつの つうろって しってる？<*4>,Do you know about the secret passage?<*4>
0x60170,せっかく かくしてたのに<4E>ばれちゃったのね<4C>でも はじめは いけないのよ,My secret's been exposed...<4C>Although I've never actually went down it before.
0x60172,にんじゃむらに つづくみちが<4E>あるんだって,There's a secret path that leads to the Ninja Village.
0x60174,こらーーーーっ!!,Heeeeey!!
0x60176,ひさしぶリじゃの <&NAME><4C>いきなリ ロボトルかいしじゃ!,"<@Grandpa>Long time no see, <&NAME>.<4C>I know this is sudden but...let's Robottle!"
0x60178,はじめたばかリにしちゃ つよいのう,<@Grandpa>You're very strong. You beat me rather quickly.
0x6017a,ワシも ちいさいころは<4E>にんじゃごっこを したもんだ,"<@Grandpa>When I was a kid, I also used to play ninja."
0x6017c,・・・・・・,......
0x6017e,おじいちゃん どうしたの<4E>しっかリして!!<4C>ふぁーーーっ よくねたっ,<@Hikaru>Grandpa! What happened?<49>Hang in there!<4C><@Grandpa>Fuaah... that was a good nap.
0x60180,ワシが・・・<4E>ワシが せかいを まもるんじゃあ!,<@Grandpa>I...I will protect the Earth!
0x60182,えらいぞ <&NAME><4E>それでこそ ワシのまごじゃ<4C>ほら もっていけ<4C>ぜいこみで 11500円じゃ,"<@Grandpa>Excellent, <&NAME>!<4C>That's my grandchild for you!<4C>Here, take this. It's ¥11500, plus tax."
0x60184,これからも しょうじんせい<4C>ほっほっほっ,"<@Grandpa>Your youth is only just beginning, boy.<49>Hohohoh!"
0x60186,まあまあ よくきたのう<4C>それじゃ さっそく ロボトルかいし<4C>・・・と いきたいところだがの<4C>わたしは ロボトルせんからのぉ<4E>ほっほっほっ,"<@Grandma>Ah, you did well to come here.<4C>Now, let's quickly start our Robottle...<4C>Is what I would like to say but...<4C>I just came out of a Robottle. Hohohoo!"
0x60188,なんも ないところだが<4E>ゆっくリして おいき,"<@Grandma>Well, we don't have much here but feel free to make yourself comfortable."
0x6018a,<&NAME>や とめておくれ<4C>おじいさんが ロボロボだんを<4E>たおすって きかないんだよ,"<@Grandma>Let it go, <&NAME>.<4C>There's no way an old man can help us beat the RoboRobos."
0x6018c,まあまあ あのさわぎを とめたのは<4E><&NAME>じゃったのか,"<@Grandma><&NAME>, were you the one who put a stop to that nonsense?"
0x6018e,うらないババの よげんは<4E>よくあたるんだ,That fortune teller lady's predictions always come true.
0x60190,むむうっ おぬし<4E>じょなんの そうが でておるぞよ<4C>なんと!<4E>ばけものの そうも でておるぞ,"Hmm, I see a girl in trouble...<4C>What?!<4C>I see a huge monster as well."
0x60192,キェーーッ みえる みえるぞよ<4C>おぬしを とリまく<4E>くろいかげが みえるぞよ<4C>ロボロボだんに きを つけるぞよ,"I see it! I see it!<4C>I see a dark shadow encompassing you!<4C>It could be the RoboRobo Gang, be careful!"
0x60194,どうじゃ あたったであろうぞよ,So? Am I right?
0x60196,はなしかけるでないのぞよ,I can't talk right now.
0x60198,うちゅうの しんぴだねぇ,Space is a very mysterious place.
0x6019a,ここに うちゅうせんが<4E>おリたんだよ,A spaceship landed here!
0x6019c,いせきの まんなかにいくと<4E>ふしぎなものが みえるんだって,"They say if you go to the pond in the center of the Ruins, you might see some weird stuff."
0x6019e,ガラクタおきばに メダロットの<4E>パーツが おちてるんだ,There's a bunch of Medarot parts in the junkyard.
0x601a0,メダロットの にせものを<4E>かわされちゃったんだ<4C>それって ダメロットのこと？<4C>そうなんだ<4C>ずっーーーーーと もってると<4E>プレミアつくんじゃないか？<4C>つくわけないだろ,"I got a counterfeit Medarot...<4C>You mean a Medanot?<4C>Yup. You think if I hold on to it, its value will increase?<4C>I don't think so..."
0x601a2,コノ ショウネンハ<4E>ワレワレノ ミカタナノカ？,<@Static><f03>Is this boy an ally?
0x601a4,な なんだったんだ？<4E>いまのは・・・？,<@HikaruSad>What was that just now?
0x601a6,ユウキが はなしてたのは<4E>ここのことだな,<@Hikaru>This must be the place Yuuki was talking about.
0x601a8,メダルが もとに もどリますように,"<@Hikaru>In order to repair my Medal, I have to leave it in the pond."
0x601aa,じっとしてると ねむいなぁ,<@HikaruSad>I guess I'll just nap while I wait.
0x601ac,グーグーグー,Zzz...zzz...
0x601ae,キケン・・・<4E>モウスグ アレガ メザメル<4C>あれ？ あれって なに？<4C>ソウダ トメナケレバ<4C>とめるって なにを？<4C>キット・・・コノショウネンハ<4C>ソウ・・・ワタシタチガ マイタ<4E>タネヲ カリトッテ クレルモノ<4C>ねえ きみたちはだれ？<4E>なにを いってるの？<4C>ワタシタチハ ミマモルモノ<4E>ソシテキミハ ワタシタチノ キボウ,"<@Alien><f03>We are in grave danger...<49>It will awaken soon.<4C><f00><@HikaruSad>Huh? What are you talking about?<4C><@Alien><f03>If you can't stop <f04>it <f03>then...<f00><4C><@HikaruSad>Stop what?!<4C><@Alien><f03>This boy will surely...<4C>Yes...This boy will definitely be of help to us.<f00><4C><@HikaruSad>Hey, who are you guys? What are you talking about?<4C><@Alien><f03>We are your guardians, <49>and you are our only hope."
0x601b0,・・・？<4C>なんだか ヘんなゆめを<4E>みてたきがするけど なんだっけ？<4C>あっ メダルが なおってる!<4E>それどころか ふえてるぞ!？<4C>このメダルを みていると<4E>なんだか むなさわぎがする<4C>はやく がっこうに もどろう!,"<@HikaruSad>...?<4C>I felt like I was having a weird dream...what was that?<4C>Ah! My Medal is fixed! ...and another one?!<4C>When I look at this Medal, I can't help but have this uneasy feeling...<4C><@Hikaru>I better hurry to school!"
0x601b2,ダメロットって すごいプレミア<4E>ついてるんだって<4C>ちぇっ<4E>だいじに とっておけば よかった,"Apparently Medanots are worth a fortune now.<4C>Tch, I should have held on to mine."
0x601b4,みぎてを ごらんください,Look to your right.
0x601b6,しげみが じゃまして<4E>ひょうさつが みえない<4C>んっ？<4C>ほる・・・ん せかいせいふくビル<4E>・・・・・・？<4C>まっ いいか・・・,"<@HikaruSad>It's hard to read the name with these bushes in the way.<4C>Hm?<4C>Horu...in. Building of World Domination.<4C>......?<4C>Well, I'm sure it's no big deal..."
0x601b8,いせきには トロッコで いくんだ<4C>トロッコのリばは めのまえだよ,You can take the rail car to the Ruins.<4C>The boarding spot is right in front of you.
0x601ba,ロボロボだんは だいあくとうさ<4C>このあいだも ほリだしたメダルを<4E>ぬすんで いったんだ,The RoboRobo Gang are a bad bunch.<4C>They're probably stealing excavated Medals as we speak.
0x601bc,しゃしん とらなきゃ<4E>パシャッ パシャッ,<@Tourist>Gotta take a picture!<49><@None>*flash* *flash*
0x601be,ガタンッ,*clank*
0x601c0,レバーがさがった,You pushed down the lever.
0x601c2,レバーがあがった,You pulled the lever.
0x601c4,あっ メダロットみっけ!<4C>でも なんかヘんだな？<4C>これって もしかして ダメロット!？<4C>ほかにも いろんなパーツが<4E>おちてるぞ,<@Hikaru>Ah! A Medarot!<4C>But there's something off about it...<4C>Could it be a <f02>Medanot<f00>?<49>There's parts all over the place too!
0x601c6,あっ ロボロボだんだ!<4C>また わるさをたくらんでるな<4E>よし さきまわリしてやれ!!,"<@Hikaru>Ah, it's the RoboRobo Gang!<4C>They must be plotting something again, I better stop them!"
0x601c8,=0x601c6,=0x601c6
0x601ca,われらが うちゅうじんさまのために<4E>メダルを うばいとるシャーク!<4C>ロボロボッ ロボロボッ,"<@Reika>As ordered by our masters...<4C>We will steal your Medals, shaaark!<4C><@Grunt>Roborobo roboroboo!"
0x601cc,ワン ワンッ<4C>あっ<4E>また あのいぬだロボーッ<4C>いっ いぬは きらいなんだロボーッ<4C>ワン ウワンッ,"<@Bonaparte>Woof Wooof!<4C><@GruntSad>Ah! Not that dog again, Robo!<4C>I-I can't stand dogs, Robooo!<4C><@Bonaparte>Woof woooof!"
0x601ce,そこだ ボナパルト!<4E>いけぇっ ボナパルト!<4C>おのれ こぞうシャーク!,"<@Hikaru>There, Bonaparte! Sic 'em!<4C><@Reika>You!<49>You're that brat, shaark!"
0x601d0,ロボロボだんに さからうとは<4E>ばかなやつ!,<@ReikaSad>You'll regret picking a fight with the RoboRobo Gang!
0x601d2,セレクトたい さんじょうっ!!<4E>ロボロボだんめっ かくごしろっ,"<@Officer>The Select Force is here!!<4C>Prepare yourselves, RoboRobos!"
0x601d4,しょうねんよ きょうリょくに<4E>かんしゃする,<@Officer>Thank you for your help.
0x601d6,めずらしいメダルが ならんでいる,There's a bunch of rare Medals on display.
0x601d8,ひだリてを ごらんください,Look to your left.
0x601da,このせかいでは てにはいらない<4E>メダルが あるのよ,"In this world, there lie many Medals that you have yet to obtain."
0x601dc,ここには せかいのメダルが<4E>てんじ されています,Medals from all over the world are on display here.
0x601de,このメダルは はじめてみるぞ,I've never seen this Medal before!
0x601e0,おんなのこの パーツが<4E>ゆにゅうひんやで うってるそうだよ,They sell female parts at the Imports shop.
0x601e2,わたしを ごらんください<4C>きれいでしょ？,Look at me.<49>Aren't I pretty?
0x601e4,あのメダル ほしいなぁ,I want that Medal...
0x601e6#kabuto,あっ<4E>「ドラゴン」の メダルだ,<@Hikaru>Ah! It's a <f02>Dragon <f00>Medal!
0x601e6#kuwagata,あっ<4E>「デビル」のメダルだ,<@Hikaru>Ah! It's a <f02>Devil <f00>Medal!
0x601e8#kabuto,あっ<4E>「しのび」の メダルだ,<@Hikaru>Ah! It's a <f02>Ninja <f00>Medal!
0x601e8#kuwagata,あっ<4E>「エンジェル」のメダルだ,<@Hikaru>Ah! It's an <f02>Angel <f00>Medal!
0x601ea,わしの もってるメダルと ちがうぞ<4E>ほら みろ!<4C>おじさんが みせてくれたのは<4E>「ネコ」の メダルだ,"My Medal is different from yours, see?<4C>It's a <f02>Cat <f00>Medal."
0x601ec,スクープだ しゃしんとらなきゃ<4E>パシャッ パシャッ,<@Tourist>This is quite a scoop!<49>I gotta get a picture!<49><@None>*flash* *flash*
0x601ee,メダルと パーツの あいしょうや<4E>じゅくれんども だいじですけど<4C>せいかくに あわせた<4E>パーツえらびも たいせつですよ,Skills and part compatability are important and all but choosing parts that match your Medal's personality also helps.
0x601f0,うちは となリのみせよリ やすいんだ,Our store has cheaper prices than the place next door.
0x601f2,おんなのこティンペットは<4E>うリきれだよ,The store is sold out of female Tinpets!
0x601f4,うちは どのみせよリも やすいぞ,Our store is cheaper than any other.
0x601f6,こどもは はいっちゃだめよ,No kids allowed!
0x601f8,ここは しょうてんがいの まちさ,This is the shopping district.
0x601fa,ロボロボだんが<4E>すごいメダルを さがしているってよ<4C>このメダルも もしかしたら・・・,The RoboRobo gang said they're searching for powerful Medals.<4C>Possibly this Medal too...
0x601fc,こどもは はいってきちゃいかん!,<@Grump>Children are not allowed here!
0x601fe,あらぁっ ボウヤ<4C>こんなところに はいってきちゃ<4E>いけないのよ<4C>おしおき しちゃうんだからぁ,"Heey, boy. You can't come in here! I'll punish yoou!"
0x60200,もう こんかいだけよっ♥,"All right, but just this once.♥"
0x60202,また きたの？<4C>きょうは<4E>てかげんして あげないからねぇ<4C>ねえ なんかいま みたような<4E>きがするんだけど・・<4C>そんなこといっても<4E>いれてあげないんだからぁ<4C>ハニー ばにい バニー!？,"Again?<4C>I can't let you off easy this time.<4C>Come to think of it...<4C>I feel like I've seen you somewhere before...<4C>Anyway, I can't let in you here!<4C>Honey bunny bunny!?"
0x60204,=0x60202,=0x60202
0x60206,きょうは がっこうは<4E>おおそうじだから はいれないよ,"The school is being cleaned today, so you can't come inside yet."
0x60208,<*0>,
0x6020a,=0x60208,=0x60208
0x6020c,=0x60208,=0x60208
0x6020e,=0x60208,=0x60208
0x60210,=0x60208,=0x60208
0x60212,=0x60208,=0x60208
0x60214,=0x60208,=0x60208
0x60216,=0x60208,=0x60208
0x60218,=0x60208,=0x60208
0x6021a,=0x60208,=0x60208
0x6021c,いらっしゃい,Welcome!
0x6021e,どうぶつと メダロット<4E>どっちが いいのかしら？,"Animals and Medarots, which do you prefer?"
0x60220,ティンペットって<4E>ブリキのペットって いみなんだぜ,"Tinpet is short for ""a pet made out of tin""."
0x60222,ボナパルト どうしたんだ<4E>こんなところに はいって!？<4C>わんっ わんっ,<@Hikaru>Bonaparte? How'd you get here?!<4C><@Bonaparte>Woof woof!
0x60224,おきゃくさん<4E>ペットをつれこんじゃ だめですよ,"Hey, you can't bring pets in here."
0x60226,あれっ？ ボナパルト？,<@HikaruSad>Huh? Bonaparte?
0x60228,よのなか べんリになったねぇ,Technology has become very convenient. <49>It's a sign of the times.
0x6022a,いらっしゃいませ <4E>どんどんかってくれよ,Welcome. Buy lots of stuff!
0x6022c,ロボロボだんが いなくなってから<4E>うリあげが ヘったよ,"Ever since the RoboRobo gang left, my sales have plummeted..."
0x6022e,いらっしゃーい<4E>とっても レアなものいかが？,"Welcome, we got some rare items for ya!"
0x60230,きょうは サービスデーよ<4E>そしなを どーぞ,"Today's a service day, here's a little gift."
0x60232,ふーむ レアなものが あリますな,"Hmm, they've got quite some rare items here."
0x60234,ロボロボだんは うちゅうじんの<4E>てさきじゃ,<@Geezer>The RoboRobo gang are working with aliens!
0x60236,セレクトたいも うちゅうじんの<4E>てさきじゃ,<@Geezer>The Select Force is also working with aliens!
0x60238,きょうは・・・,<@Lady>Today...
0x6023a,おにくが やすいんだわ,<@Lady>Meat is pretty cheap.
0x6023c,おさかなが やすいのよ,<@Lady>The fish are pretty cheap.
0x6023e,おやさいが やすいのね,<@Lady>The vegetables are pretty cheap.
0x60240,パーツが やすいのよね,<@Lady>The parts are pretty cheap.
0x60242,ほかには なにか あったかしら？,<@LadySad>Do they have anything else?
0x60244,「さくてき」すると チームぜんいんの<4E>こうげきが あたリやすくなるよ<4C>こうげきが あたらないときは まず<4E>「さくてき」してみると いいよ,"Using <f02>Scan <f00>will make it easier for your attacks to land. <4C>If you see your attacks constantly missing, it might be a good idea to try <f02>Scan<f00>."
0x60246,このこったら<4E>また うそばっかリついて!,This guy is lying through his teeth again!
0x60248,ほら いったとおリでしょ,"Hey, I was right."
0x6024a,ロボトルしよーぜっ<*4>,Let's Robottle! <*4>
0x6024c,いろんなパーツを もってるやつが<4E>かつのさ,Medarotters that have a wide variety of parts always win.
0x6024e,いくらパーツを もっていても<4E>つかいこなせなきゃ だめさ,"Even if you have a huge supply of parts, if you can't use them properly, they're no good."
0x60250,せいかくの「とくしゅ」が たかいと<4C>じょうきょうに あわせて<4E>のうリょくが ヘんかするのよ<4C>ピンチのときは 「なおす」があがるし<4E>チャンスのときは こうげきがあがるの<4C>たたかいの ながれを つかめば<4E>すごく つよくなれるわよ,"If your Medarot's <f02>Special <f00>stat is high, its abilities will change depending on the situation.<4C>If you're in a pinch and use <f02>Heal<f00> or if you take advantage of an opening, your Medarot can take control of the flow of battle."
0x60252,ファイトタイムが あんまリながいと<4E>じかんぎれになるわ<4C>それまでのたたかいかたで<4E>かちまけが きまるの,"When there's no more <f02>Fight Time<f00> left, a <f02>Time Up<f00> is called.<4C>At that point, the winner is decided based on how they did during the fight."
0x60254,こめは おこめや<4C>むしは むしはかせ,The rice shop handles the rice.<4C>The Insect Professor handles the insects.
0x60256,こうげきパーツが なくなったときは<4E>こうさんしたほうが いいわよ<4C>こうどうを きめるときに<4E>セレクトボタンを おせば<4C>じぶんから まけを<4E>みとめることができるわ,"If you have no offensive parts left, it's best to surrender.<4C>If you press Select while choosing an action, you can choose<49>to give up the fight."
0x60258,いいむし もってたら<4C>1ぴきわけてくれないか？<*4>,"<@Researcher>If you managed to catch any good bugs,<4C>Would you mind selling it to me?<*4>"
0x6025a,いきるための ちえは<4E>むしに まなぶといいぞ<4C>むしのつよさを みせてやろう!,<@Researcher>You can learn a lot about life from studying bugs.<4C>I'll show you the power of bugs!
0x6025c,うそだっ そんなばかな!？,<@ResearcherSad>You're kidding! That's impossible!
0x6025e,むしはかせは しんじゃったんだ,The insect professor died...
0x60260,いまは じょしゅの オウムが<4E>はかせの かわリを つとめてるのさ,The parrot over there is currently substituting for the professor.
0x60262,なんのようじゃ？ ヨウジャ？,<@Parrot>What do you want? Waaant?
0x60264,メダロットは ムシのからだを<4E>モデルにして つくられた レタ<4C>じぶんと あいてのつよさは<4E>みきわめて たたかう カウ<4C>おなじパーツを つかっていると<4E>とくちょうが でてくる クル,<@Parrot>Medarots are modeled after insects-ects!<4C>The different parts they each use to fight are special-al!<4C>They learn their's and their opponent's strengths and weaknesses through battle-tle!
0x60266,=0x60264,=0x60264
0x60268,むしは うまいぞ<4E>ちがう むしはすごいぞ イゾ,<@Parrot>Bugs are awesome!<4C>Seeing different bugs is cool-ool!
0x6026a,じゅんびは よろしいですか？,<@Nae>Are you ready?
0x6026c,=0x6026a,=0x6026a
0x6026e,さいきょうの メダルを<4E>つくリあげるのじゃぞ,<@Medarot>Make your Medals strong!
0x60270,このあたリの むしは むしはかせに<4E>とられちゃったんだ,The professor caught all of the bugs in this area...
0x60272,どろんっ・・・,*Hop*...
0x60274,あれっ？<4E>きえないや,Huh? It disappeared.
0x60276,このさきは にんじゃのさとに<4E>つづいてるぞ,Beyond this point lies the Ninja Village.
0x60278,まどが かくしとびらに なっていて<4E>むこうがわに ぬけられるのよ<4C>ほかにも こんな ばしょがあるから<4E>いろいろ さがしてみると いいわよ,"Some of the windows are actually hidden doors, you can<49>reach the other side through them.<4C>It's a good idea to check various places."
0x6027a,しゅリけん なげるぞ,Watch me throw these shurikens!
0x6027c,あたった あたった どまんなかだ!,Ha! Haa! Bullseye!
0x6027e,てやあっ!!,Teyaah!!
0x60280,うわっ やられたーっ,Uwaah! I'm done for!
0x60282,1まいが 2まい,1 becomes 2...
0x60284,2まいが 3まい,2 becomes 3...
0x60286,3まいが 4まい,3 becomes 4...
0x60288,4まいが・・・あれっ？,4 becomes...What was it again?
0x6028a,おとまリは みんしゅくヘ どうぞ,"If you ever want to rest, you should stop by the lodge."
0x6028c,このさきは いきどまリです<4E>はいっては いけません,"This way is a dead end,<49>you cannot pass."
0x6028e,ドアが ひらいた!,The door opened!
0x60290,なかは まっくらだ,It's pitch black in here.
0x60292,コツッ<4E>なにかが あしに あたった<4C>それをつかんで そとにでた,Clack!<4C>You feel something touching your foot.<4C>It grabs a hold of it and drags you outside!
0x60294,かけじくが なわばしごに なっている,The scroll turned into a rope ladder.
0x60296,おんなのこティンペットは<4E>おんなのこにだけ うってくれるんだ,We only sell female Tinpets to girls.
0x60298,どうだ いっしょに ロボトルせぬか？<*4>,<@Ninja>How 'bout it? Wanna Robottle?<*4>
0x6029a,おぬし なかなかやるな,<@NinjaSad>You did well.
0x6029c,みなとまちなんか けいけんちかせぎに<4E>もってこいじゃない？<4C>まっ わかんないことがあったら<4E>キララおねーさんに ききにきなさい,"<@Kirara>How about heading to Harbor Town to pick up some Robottle experience?<4C>If there's anything you don't understand, just let me know!"
0x6029e,まだまだ<4E>しゅぎょうが たリんようじゃな<4C>これを もっていくがよい,"<@NinjaSad>You still don't know enough.<49>Here, take this."
0x602a0,まだまだ しゅぎょうがたリんのう,<@NinjaSad>You still have much to learn.
0x602a2,ロボトルしてるか？,<@Ninja>Wanna Robottle?
0x602a4,きがつかぬうちに ロボロボだんに<4E>しのびこまれていたとは・・・<4C>まったく なさけないかぎリだ<4C>かたじけない おぬしに このむらを<4E>すくってもらったことになるな<4C>こんなものしかないが<4E>うけとってくれぬか？,<@KunoichiSad>Those RoboRobos snuck into our village.<4C>They're a lousy bunch.<4C><@Kunoichi>We are grateful for you driving them out.<4C>It's not much of a reward but will you please take this?
0x602a6,おんなのこメダロットも<4E>つよいパーツが たくさんあるのだ,<@Kunoichi>Female Medarots have good parts too.
0x602a8,ゆっくリ おやすみください,Please rest.
0x602aa,あっちこっちを<4E>いじくリまわしちゃ なんねーぞ,They're all over the place!
0x602ac,にんじゃは くらやみの なかでは<4E>かべに そって あるくのよ,Ninjas likes to walk along the walls in the darkness.
0x602ae,あっ にんじゃだ!,"<@Hikaru>Ah, a ninja!"
0x602b0,こどもに みつかるとは<4E>とほほ・・・,"For a kid to find me...heh, oh well."
0x602b2,なにも はいっていない,There's nothing inside.
0x602b4,ぬおうっ!？,<@TaiyoSad>Wooaah!?
0x602b6,フォ フォ フォ<4E>ここを みやぶるとは あっぱれ<4C>ものども かかれっ!,"<@Suzume>Ho ho ho...you did well finding me here.<4C>Come, my comrades!"
0x602b8,うわーっ!？,<@Static>Uwaaah!
0x602ba,ぬおおおっっ!,<@Grunt>Uwooooh!
0x602bc,なんだ なんだっ!？<4C>あっ ロボロボだん!!,<@Ninja>What? What?!<4C>Ah! It's the RoboRobo Gang!
0x602be,こらっ まてーっ!,"<@Ninja>Hey, Wait!"
0x602c0,おんなのこティンペットは いつ<4E>おみせに ならぶか わからないよ,When will they have female Tinpets in store?
0x602c2,くのいちって かっこいいわ,Kunoichis are cool.
0x602c4,わしと ろぼとるだ!,Robottle with me!
0x602c6,=0x602c4,=0x602c4
0x602c8,わしのパーツを かえせーっ,<@Geezer>Give me back my parts!
0x602ca,<*0>,
0x602cc,ふんすいって きれい<4C>わたし みたい,The water fountain looks pretty. Like me.
0x602ce,ロボロボだんの ひとが<4E>おきがえしてたの,I saw a RoboRobo member put on a disguise.
0x602d0,メダロットしゃでは<4E>さいしんパーツや めずらしいパーツ<4C>それに がいこくから はこんできた<4E>おもしろいアイテムとか<4C>いろんなものを けんきゅうしてるんだ,"The Medarot Company researches a lot of different stuff, like new and unusual parts, as well as items from overseas."
0x602d2,こうじょうで つかう<4E>パーツが たリないんだ<4C>きみの パーツを<4E>ちょっとだけ かしてくれないか？<*4>,"The factory doesn't have enough parts that we could use, mind lending us yours for a bit?<*4>"
0x602d4,「くれる」と いったからには<4E>かえさないぞ ハハハハッ,"<@Suzume>Even if you want it, you're not getting anything back. Hahahahaa!"
0x602d6,よくぞ みやぶった,<@SuzumeSad>You have a sharp eye.
0x602d8,わしのメダロットが!<4E>わしのメダロットがっ!!,My Medarot!<4C>My Medarot~!!
0x602da,ウガーッ,Ugaa~
0x602dc,ちくたいかいは ここで やるんだ,This is the District Tournament.
0x602de,みんな つよそうだなぁ,These guys look tough.
0x602e0,きみも さんかするのかい？,Are you joining too?
0x602e2,1かいや2かい かったくらいで<4E>ちょうしに のってんじゃないよ,<@Iseki>Don't get cocky because you won once or twice.
0x602e4,ちっくしょう なんで かてないんだよ,<@IsekiSad>Darn! Why can't I ever win?
0x602e6,きょうは ほんきで おあいてして<4E>さしあげますわ,<@Paddy>I'll come at you with everything I got.
0x602e8,いやーん ですわ,<@PaddySad>Nooo!
0x602ea,あれっ？<4E>どこかで みたことあるような・・・<4C>だれだったかな？<4C>クスッ<4E>どうしたの？<4C>レディのかおを じいっと<4E>みつめちゃったリして<4C>いっ いや・・・<4E>べつに ぼくは・・・<4C>おたがい ベストをつくしましょう,"<@Hikaru>Huh? I feel like I've seen you before...who are you?<4C><@Beauty>Heh heh, what's wrong? You're staring pretty hard.<4C><@Hikaru>No, it's not what you think...I was...<4C><@Beauty>In any case, let's both do our best!"
0x602ec,けっこう つよくなったじゃない<4E>また どこかで あいましょう♥,<@Beauty>You've become very strong! 'Til we meet again!♥
0x602ee,ここは ぼくの にわみたいなもの<4E>だからね<4C>まちがっても きみには まけないよ,"<@Yuuki>This place is like a garden to me..<4C>Which is why, I won't lose to you, no matter what!"
0x602f0,なんということだ ここで<4E>まけるなんて・・・,<@YuukiSad>I can't believe it... To lose now of all times...
0x602f2,さいこうの しあいだったよ,<@Yuuki>That was a great match.
0x602f4,ここは メダロットしゃです<4C>メダロット トーナメントの<4E>ちくたいかいは ここで おこないます,This is the Medarot Company.<4C>Here is where we will be conducting the District Medarot Tournament.
0x602f6,ちくたいかいに さんかするひとは<4E>ちかのステージに むかってください,"All participants, please head to the stage downstairs."
0x602f8,ふつうのティンペットと<4E>おんなのこティンペット<4C>2しゅるいの パーツがあるのか・・・,There are two kinds of parts.<4C>One for regular Tinpets and<49>one for female Tinpets.
0x602fa,ティンペットには<4E>つけられるパーツが きまってるんだ,"Tinpets have parts that you can or can not equip, depending on the gender."
0x602fc,「じゅうてん」は<4E>こうどうするまでに かかるじかん<4C>「ねつリょう」は<4E>こうどうしたあとに かかるじかん<4C>どっちも ひくいほうが<4E>はやく こうどうできるよ,"<f02>Charge <f00>determines the amount of time it takes for your Medarot to do an action. <4C><f02>Cooldown <f00>is the amount of time it takes for it to recover from an action.<4C>If any of the two are low, it makes your actions quicker!"
0x602fe,このパーツの テストを<4E>たのまれてくれないか？<4C>おやぁ？<4C>がいこくから はこんできた<4E>アイテムがなくなってるぞ<4C>はこんでるときに おとしたのかな？<4E>ま いいか・・・,"Can you give this part a little test run?<4C>Huh, it's not here...<4C>Could it have gotten lost in the delivery?...Ah, oh well."
0x60300,これをつかえば<4E>こうそくいどうできるぞ,"If you use this, your speed will increase tremendously!"
0x60302,このアイテムを つかって マップの<4E>いきたいばしょを えらべば<4C>いっしゅんで もくてきのばしょに<4E>とぶことが できるぞ,"With this item, you can fly to any place on the map you've already visited."
